size 	 bubble 	 insertion 	 selection 
20	6	3	4
40	20	8	13
60	44	18	25
80	74	28	42
100	117	45	64
120	170	66	91
140	223	79	120
160	288	99	155
180	372	140	194
200	434	184	238
220	548	197	285
240	647	237	337
260	757	267	370
280	837	304	429
300	951	344	492
320	1089	384	556
340	1210	420	628
360	1383	495	684
380	1460	522	737
400	1607	542	814
420	1788	656	896
440	1854	645	934
460	2036	703	1019
480	2183	764	1108
500	2282	806	1145
520	2418	854	1234
540	2594	900	1269
560	2716	928	1364
580	2877	1004	1396
600	2998	1067	1493
620	3095	1069	1530
640	3245	1117	1633
660	3334	1187	1659
680	3507	1159	1692
700	3648	1282	1791
720	3730	1315	1819
740	3870	1311	1852
760	3898	1293	1954
780	3996	1348	1984
800	4235	1418	2017
820	4290	1431	2067
840	4356	1471	2149
860	4456	1550	2186
880	4574	1540	2215
900	4690	1523	2251
920	4798	1614	2283
940	4798	1622	2367
960	4951	1689	2412
980	5028	1703	2446
1000	5208	1748	2485
1020	5248	1762	2516
1040	5378	1812	2608
1060	5647	1937	2709
1080	5783	1987	2810
1100	5991	2026	2918
1120	6297	2101	3021
1140	6477	2151	3133
1160	6722	2236	3241
1180	7000	2409	3354
1200	7202	2489	3460
1220	7561	2591	3581
1240	7711	2585	3702
1260	7925	2638	3820
1280	8259	2797	3939
1300	8606	2924	4061
1320	8852	2983	4191
1340	8984	3016	4317
1360	9282	3108	4446
1380	9560	3228	4573
1400	10012	3430	4706
1420	10170	3382	4843
1440	10530	3510	4976
1460	10705	3503	5114
1480	10984	3724	5255
1500	11515	3913	5401
1520	11628	3958	5542
1540	12033	3986	5687
1560	12417	4248	5834
1580	12689	4225	5982
1600	13123	4470	6131
1620	13493	4653	6292
1640	13691	4466	6442
1660	14084	4634	6608
1680	14516	4888	6760
1700	14674	4893	6931
1720	14909	4882	7086
1740	15178	4854	7256
1760	15856	5255	7413
1780	16150	5298	7590
1800	16434	5416	7759
1820	16911	5623	7925
1840	17314	5739	8099
1860	17705	5794	8278
1880	18128	5990	8455
1900	18383	6066	8632
1920	18833	6210	8812
1940	19405	6313	8997
1960	19714	6478	9191
1980	20181	6626	9411
2000	20519	6765	9561
2020	20793	6719	9754
2040	21332	6941	9949
2060	21906	7238	10139
2080	22209	7361	10336
2100	22745	7510	10536
2120	22770	7391	10738
2140	23727	7892	10939
2160	24074	7747	11136
2180	24561	8117	11357
2200	24771	8008	11556
2220	25523	8360	11783
2240	25830	8424	11971
2260	26478	8644	12186
2280	26960	8757	12409
2300	27176	8737	12636
2320	27784	8886	12854
2340	28305	9220	13064
2360	28924	9399	13309
2380	29209	9585	13519
2400	30152	9983	13802
2420	30376	9929	13971
2440	30981	10134	14203
2460	31019	10106	14432
2480	31743	10166	14667
2500	32882	10627	14904
2520	33123	10735	15151
2540	33429	10746	15398
2560	33941	10848	15630
2580	34457	11242	15877
2600	35212	11377	16133
2620	35710	11692	16363
2640	36329	11722	16613
2660	37002	12050	16882
2680	37680	12102	17129
2700	38302	12441	17372
2720	38557	12361	17653
2740	39654	13016	17917
2760	39860	12957	18156
2780	40141	12698	18429
2800	40910	12989	18681
2820	41572	13123	18948
2840	42249	13695	19213
2860	43212	14297	19480
2880	43340	13932	19764
2900	44260	14154	20054
2920	44587	14132	20319
2940	45320	14232	20585
2960	45850	14517	20876
2980	46826	15041	21136
3000	47406	15177	21446
3020	47737	15254	21727
3040	48491	15467	22017
3060	49389	15859	22314
3080	50037	15845	22595
3100	50785	16342	22903
3120	51164	16522	23178
3140	58782	17218	23645
3160	52943	16811	23783
3180	53345	16923	24074
3200	54161	17057	24382
3220	55090	17630	24696
3240	55240	17380	25000
3260	56016	17635	25292
3280	56689	17537	25602
3300	57550	18082	25919
3320	58103	18514	26236
3340	59174	18879	26584
3360	59937	18966	26849
3380	60762	19083	27191
3400	61206	19742	27519
3420	61777	19749	27863
3440	62741	19657	28142
3460	63471	20083	28472
3480	64171	20090	28821
3500	65169	20346	29152
3520	66167	21022	29479
3540	66313	20916	29816
3560	67138	20892	30156
3580	68333	21514	30475
3600	68636	21506	30828
3620	69351	21610	31220
3640	70745	22171	31507
3660	71701	22692	31881
3680	72078	22514	32203
3700	73274	23063	32566
3720	73700	23004	32925
3740	74472	23031	33284
3760	75979	24220	33670
3780	76424	23744	33965
3800	77137	24024	34343
3820	78139	24507	34713
3840	78684	24607	35047
3860	79932	25251	35434
3880	80636	25229	35797
3900	81464	25426	36152
3920	82417	25884	36528
3940	83134	25860	36901
3960	83940	26219	37290
3980	85189	26622	37653
4000	85402	26797	38045
4020	86586	26992	38421
4040	86998	26825	38805
4060	88415	27439	39191
4080	89720	28184	39571
4100	90301	28416	39979
4120	91699	28867	40353
4140	92863	29174	40731
4160	92732	28869	41132
4180	93767	29227	41505
4200	94238	29138	41941
4220	95230	29862	42322
4240	96731	30273	42712
4260	97396	30216	43139
4280	98657	30794	43524
4300	98901	30824	43931
4320	100504	31484	44361
4340	101107	31904	44726
4360	101625	31136	45221
4380	103677	32157	45584
4400	104438	32483	46011
4420	105236	33046	46439
4440	105882	32644	46844
